,SCORE,,,1,100%
,Environmental Planning Reviewer ,Correct Ans.,,Remarks,"DISCLAIMER:
Always double-check the values given in this document with the actual laws."
,Enp Part 4 (abg)   ,,,,
 1 ,"The desired lifestyle as stated in Ambisyon Natin 2040 requires a monthly family income of at least how much for a family of four, valued in 2015 prices in the National Capital Region?
a. P 120,000  b. P 240,000 c. P 300,000 d. P 150,000",a,,,
 2 ,"In Ambisyon Natin 2040, toward promoting a long and healthy life, a range of programs starting with quality and affordable universal health care and social protection is required.
i Reduction of infant mortality rate through quality maternal health and child care
ii Reproductive health and family planning programs
iii Eradication of malnutrition 
iv. Programs and facilities to encourage development of healthy lifestyles
v. Efficiently-managed natural resources and environment

a. i,ii,iii,iv     b. ii,iii,iv,v       c. i,iii,iv,v        d. i,ii,iii,iv,v",D,,,
 3 ,"This has led to declining transport costs – and the internet revolution has made a dramatic effect in lowering the costs of business within and across countries, including in the services sector.
a. Transportation Boom  b. Economic Advancement
c. Social Awareness  d. Technological Change",d,,,
 4 ,"What led to changes in reproductive and life expectancy trends?
i. better nutrition ii.  sanitation iii. fertility
iv. healthcare  v. education vi. economic well-being 

a. i,ii,iii,iv,v b. i, ii,iv,v,vi c. i,iii,iv,v,vi d. i,ii,iii,iv,vi",b,,,
 5 ,"Infrastructure projects on the unused lands where there is no need to remodel or demolish an existing structure.
a. brownfield projects  b. greenfield projects
c. alteration projects  d. renovation projects",b,,,
 6 ,"When did zoning ordinance start in the US? 
A. 1920 b. 1916 c. 1926 d. 1906 ",B,,,
 7 ,"Who first drafted the zoning ordinance in the US? 
A. Bassets b. Olmstead c. Burnham d. Aota ",A,,,
 8 ,"This data is used in the analysis of the ethnic origin of a person.
a. population density  b. mother tongue
c. migration   d. population growth",b,,,
 9 ,"Age – specific fertility rate is calculated by
a. adding the female population of a particular age group to the number of births to women in that age group multiplied by 1,000b. dividing the female population of a particular age group by the number of births to women in that age group multiplied by 1,000
c. multiplying the number of births to women of a particular age group to the female population in that age group multiplied by 1,000
d. dividing the number of births to women of a particular age group by the female population in that age group multiplied by 1,000",d,,,
 10 ,"Child mortality rate is the probability of dying between exact age one (1) and age _____, expressed as the number of deaths of children from exact age one to less than said age during a given period per 1,000 children surviving to age 12 months at the beginning of the period.
a. 12       b. 5       c. 14      d. 3",b,,,
 11 ,"Site Criteria for socialized and economic housing include:
i. Availability of basic needs
ii. Conformity with the Zoning Ordinance or Land Use Plan of the
City/Municipality
iii. Physical Suitability
iv. Accessibility
v. Location

a. i,ii,iii,iv,v      b. i,ii,iii,iv       c.i,ii,iv,v      d. ii,iii,iv,v",b,,,
 12 ,"Planning Considerations for socialized and economic housing include:
i. Area Planning
ii. Site Preservation/Alteration (Slope, Preservation of Site Assets, Ground Cover)
iii. Easements
iv. Circulation
v. Sewerage System
a. i,ii,iii,iv          b. I,ii,iii,v        c. Aota        d. I,iii,i",a,,,
 13 ,"Design Parameters for socialized and economic housing include:
i. Land Allocation ii. Lot Requirement iii. Length of Block
iv. Shelter Component iv. Setback/Yard v. Water Supply
vi. Electrical Power Supply vii. Sewage Disposal System
viii. Drainage System ix. Garbage Disposal System
x. Fire Firefighting
a. AOTA   b. NOTA",A,,,
 14 ,"In socialized and economic housing, off-site parking may be allowed in addition to on-site parking provided that designated parking area is part of the project and provided further that it shall not be how many meters away from the condominium project?
a. 100 b. 200 c. 80 d. 50",A,,,
 15 ,"Subdivision projects shall observe and conform to the provisions of easements as may be required by:
i. Chapter IV, Section 51 of the Water Code of the Philippines on water bodies
ii. National Power Corporation (NPC) on transmission lines
iii. Fault traces as identified by PHIVOLCS per Resolution No. 515, series of 1992
iv. Right-of-way of other public companies and other entities
v. For projects abutting national roads (primary roads) adequate easement shall be provided for road including loading and unloading as may be required by national/local government units.

a. AOTA  b. i,iii,iv,v c. i,ii,iii,v d. ii,iii,iv,v",A,,,
 16 ,"What is the minimum size of parks and playgrounds in square meters in a socialized and economic housing?

a. 200 b. 80 c. 50 d. 100",D,,,
 17 ,"Refers to the integration of policies and measures that address climate change into development planning and sectoral decision-making.
a. Mitigation b. Mainstreaming c. Mitigation potential    d. Vulnerability",B,,,
 18 ,"Refers to the scale of GHG reductions that could be made, relative to emission baselines, for a given level of carbon price (expressed in cost per unit of carbon dioxide equivalent emissions avoided or reduced).
a. Mitigation b. Greenhouse effect    c. Mitigation potential  d. Global Warming   
",C,,,
 19 ,"Refers to the increase in the average temperature of the Earth’s near-surface air and oceans that is associated with the increased concentration of greenhouse gases in the atmosphere.
a. Greenhouse gases (GHG)     b. Greenhouse effect     c. Mitigation potential  d. Global Warming",D,,,
 20 ,"Literacy rate is the percentage of the population
a. who have at least completed a year of elementary education to the population 7 years and over
b. who have at least completed 6 years of elementary education to the population 5 years and over
c. who have at least completed a year of elementary education to the population 5 years and over
d. who have at least completed 6 years of elementary education to the population 7 years and over",A,,,
 21 ,"Employed includes all persons in the labor force who were:
i. At Work 
ii. Not at Work but with a Job or Business 
iii. Currently available for work
iv. Seeking work
a. i,ii        b. i,iii      c. i,ii,iii,iv       d. i,ii,iv",A,,,
 22 ,"Net Population Density is
a. expressed as the number of persons per unit of land area, usually in hectares or square kilometers
b. urban population growth rate minus rural population growth rate
c. the ratio of population to the total area of arable land
d. NOTA",C,,,
