,SCORE,,,142,95%
,Environmental Planning Reviewer ,Correct Ans.,,Remarks ,"DISCLAIMER:
Always double-check the values given in this document with the actual laws."
,"AREA 3: PLAN IMPLEMENTATION, LEGAL ASPECTS, AND ADMINISTRATION (150 POINTS)",,,,
 1 ,"The following represent how government subsidizes automobile use over mass transit, except one.
a. Large annual funding for highway maintenance
b. Government research on development of fuels
c. Investment incentives for tollway and expressway
d. Market rate and cost-recovery level for light rail fares",B,b,Correct,1
 2 ,"In contrast to pedal-driven ‘trisikad’, what is environmentalists’ basis of opposition to two stroke motor-driven tricycles?
a. Greater incidence of road accidents
b. Increase in air pollution
c. Limited service capacity and range of movement
d. Slower speed increases congestion along national highways",D,d,Correct,1
 3 ,"The following are the basic elements of ‘human settlements’ according to Dr. Kontantinos Doxiadis. Which one pertains to the built environment or physical capital?
a. Anthropos
b. Nature
c. Shells and network
d. Society
e. Social structure",c,c,Correct,1
 4 ,"An individual, group, organization, sector, or community who has a c who affects or is affected by – positively or negatively – the implementation and outcome of it, is called
a. Recipient/beneficiary
b. Proponent/exponent
c. Advocate
d. Stakeholder
e. Shareholder",d,d,Correct,1
 5 ,"The SMART test by George Doran means that both ‘task objectives’ and ‘process objectives’ have to be specific, measurable, attainable, realistic, and _____
a. Tenable
b. Truthful
c. Time-bound
d. Testable
e. Treatable",c,c,Correct,1
 6 ,"What is a theory in urban and regional planning as a field of social science?
a. An educated guess being tested by numerous experiments
b. Outcome or proof to establish casual connection among key actors and factors
c. A set of principles derived from envisioned future state of society
d. A set of interrelated propositions or hypotheses that has been supported by several studies in the past",C,c,Correct,1
 7 ,"A ‘projection’ or ‘prediction’ is a conditional statement about the future based on mathematical computation or statistical model that uses available data to extrapolate past and present trends in the future, while __________ is a judgmental statement of what an analyst believes to be the most likely logical future according to his/her subjective evaluation.
a. Premonition
b. Forecast
c. Foresign
d. Vibration
e. Prophecy",b,b,Correct,1
 8 ,"Which of the following is not a research method?
a. Questionnaire
b. Interview
c. Appraisal
d. Case study
e. Survey",c,c,Correct,1
 9 ,"A ‘problem tree’ is
a. A kind of tree that grows in the wrong place
b. A method of environmental impact assessment
c. A tool to understand cause and effect relations among problems
d. Used to trace ancient roots of intractable development problems",C,c,Correct,1
 10 ,"In the structure of informant interviews, the acronym “STAR” method stands for
a. Select, task, articulate, relate
b. Solve, test, analyze, repeat
c. Situation, task, action, result
d. Salaries, travels, add-on, refunds
e. Simple, true, action, reflection",C,c,Correct,1
 11 ,"The strength of survey questionnaire as research instrument lies in
a. Ability to provide baseline data
b. Ability to measure or quantify variables
c. Ability to reveal potential relations between different sets of data
d. Ability to draw out the most sincere responses from informants",a,a,Correct,1
 12 ,"In ‘Quality of Life Assessment’, which category of indicators of human ability and well-being would have a clear spatial dimension?
a. To be
b. Not to be
c. To dream
d. To become
e. To do",a,a,Correct,1
,"Ability - ""to be""; Capability - ""to do""",,,,
 13 ,"An environmental chemist in a laboratory reports a new discovery based on experimental results. If the experimental results are to be valid, environmental chemists in other laboratories should be able to
a. Repeat the experiment with a different variable and obtain the same results
b. Perform the same experiment and obtain different results
c. Repeat the same experiment and obtain the same results
d. Perform the same experiment under different experimental conditions and obtain the same results. ",d,d,Correct,1
 14 ,"An investigation was designed to determine the effect of ultraviolet light on mold spore growth. Two groups of mold spores were grown under identical conditions, except one group was exposed only to ultraviolet light, while the other group was grown in total darkness. In this investigation, the group of mold spores grown in total darkness is known as the
a. Experimental group
b. Pilot group
c. Control group
d. Test group
e. Manipulated group
f. Focus group",c,c,Correct,1
